Year,BEAT,Crime Group,Crime Category,crime_counts
2008,G1,Property Crime,Motor Vehicle Theft,42
2008,G2,Person Crime,Aggravated Assault,35
2008,G2,Person Crime,Homicide,2
2008,G2,Person Crime,Rape,4
2008,G2,Person Crime,Robbery,39
2008,G2,Property Crime,Arson,1
2008,G2,Property Crime,Burglary,138
2008,G2,Property Crime,Larceny-Theft,328
2008,G2,Property Crime,Motor Vehicle Theft,86
2008,G3,Person Crime,Aggravated Assault,39
2008,G3,Person Crime,Rape,3
2008,G3,Person Crime,Robbery,33
2008,G3,Property Crime,Arson,1
2008,G3,Property Crime,Burglary,109
2008,G3,Property Crime,Larceny-Theft,249
2008,G3,Property Crime,Motor Vehicle Theft,53
2008,J1,Person Crime,Aggravated Assault,28
2008,J1,Person Crime,Homicide,3
2008,J1,Person Crime,Rape,7
2008,J1,Person Crime,Robbery,40
2008,J1,Property Crime,Arson,3
2008,J1,Property Crime,Burglary,147
2008,J1,Property Crime,Larceny-Theft,402
2008,J1,Property Crime,Motor Vehicle Theft,76
2008,J2,Person Crime,Aggravated Assault,9
2008,J2,Person Crime,Rape,2
2008,J2,Person Crime,Robbery,10
2008,J2,Property Crime,Arson,2
2008,J2,Property Crime,Burglary,122
2008,J2,Property Crime,Larceny-Theft,436
2008,J2,Property Crime,Motor Vehicle Theft,114
2008,J3,Person Crime,Aggravated Assault,8
2008,J3,Person Crime,Rape,2
2008,J3,Person Crime,Robbery,17
2008,J3,Property Crime,Arson,2
2008,J3,Property Crime,Burglary,103
2008,J3,Property Crime,Larceny-Theft,389
2008,J3,Property Crime,Motor Vehicle Theft,78
2008,K1,Person Crime,Aggravated Assault,26
2008,K1,Person Crime,Homicide,1
2008,K1,Person Crime,Rape,1
2008,K1,Person Crime,Robbery,33
2008,K1,Property Crime,Burglary,56
2008,K1,Property Crime,Larceny-Theft,643
2008,K1,Property Crime,Motor Vehicle Theft,43
2008,K2,Person Crime,Aggravated Assault,69
2008,K2,Person Crime,Rape,5
2008,K2,Person Crime,Robbery,64
2008,K2,Property Crime,Burglary,42
2008,K2,Property Crime,Larceny-Theft,852
2008,K2,Property Crime,Motor Vehicle Theft,74
2008,K3,Person Crime,Aggravated Assault,61
2008,K3,Person Crime,Homicide,1
2008,K3,Person Crime,Rape,5
2008,K3,Person Crime,Robbery,87
2008,K3,Property Crime,Arson,3
2008,K3,Property Crime,Burglary,43
2008,K3,Property Crime,Larceny-Theft,1296
2008,K3,Property Crime,Motor Vehicle Theft,103
2008,L1,Person Crime,Aggravated Assault,32
2008,L1,Person Crime,Homicide,1
2008,L1,Person Crime,Rape,3
2008,L1,Person Crime,Robbery,22
2008,L1,Property Crime,Arson,5
2008,L1,Property Crime,Burglary,139
2008,L1,Property Crime,Larceny-Theft,358
2008,L1,Property Crime,Motor Vehicle Theft,85
2008,L2,Person Crime,Aggravated Assault,17
2008,L2,Person Crime,Homicide,1
2008,L2,Person Crime,Robbery,43
2008,L2,Property Crime,Arson,1
2008,L2,Property Crime,Burglary,145
2008,L2,Property Crime,Larceny-Theft,803
2008,L2,Property Crime,Motor Vehicle Theft,72
2008,L3,Person Crime,Aggravated Assault,17
2008,L3,Person Crime,Rape,2
2008,L3,Person Crime,Robbery,17
2008,L3,Property Crime,Arson,3
2008,L3,Property Crime,Burglary,163
2008,L3,Property Crime,Larceny-Theft,419
2008,L3,Property Crime,Motor Vehicle Theft,34
2008,M1,Person Crime,Aggravated Assault,30
2008,M1,Person Crime,Rape,4
2008,M1,Person Crime,Robbery,35
2008,M1,Property Crime,Burglary,37
2008,M1,Property Crime,Larceny-Theft,729
2008,M1,Property Crime,Motor Vehicle Theft,27
2008,M2,Person Crime,Aggravated Assault,22
2008,M2,Person Crime,Homicide,1
2008,M2,Person Crime,Rape,2
2008,M2,Person Crime,Robbery,33
2008,M2,Property Crime,Burglary,47
2008,M2,Property Crime,Larceny-Theft,729
2008,M2,Property Crime,Motor Vehicle Theft,16
2008,M3,Person Crime,Aggravated Assault,36
2008,M3,Person Crime,Rape,2
2008,M3,Person Crime,Robbery,79
2008,M3,Property Crime,Burglary,26
2008,M3,Property Crime,Larceny-Theft,768
2008,M3,Property Crime,Motor Vehicle Theft,9
2008,N1,Person Crime,Aggravated Assault,14
2008,N1,Person Crime,Rape,1
2008,N1,Person Crime,Robbery,11
2008,N1,Property Crime,Burglary,158
2008,N1,Property Crime,Larceny-Theft,347
2008,N1,Property Crime,Motor Vehicle Theft,62
2008,N2,Person Crime,Aggravated Assault,16
2008,N2,Person Crime,Rape,1
2008,N2,Person Crime,Robbery,28
2008,N2,Property Crime,Arson,2
2008,N2,Property Crime,Burglary,137
2008,N2,Property Crime,Larceny-Theft,401
2008,N2,Property Crime,Motor Vehicle Theft,57
2008,N3,Person Crime,Aggravated Assault,25
2008,N3,Person Crime,Rape,1
2008,N3,Person Crime,Robbery,35
2008,N3,Property Crime,Arson,1
2008,N3,Property Crime,Burglary,89
2008,N3,Property Crime,Larceny-Theft,266
2008,N3,Property Crime,Motor Vehicle Theft,92
2008,O1,Person Crime,Aggravated Assault,18
2008,O1,Person Crime,Rape,5
2008,O1,Person Crime,Robbery,14
2008,O1,Property Crime,Arson,3
2008,O1,Property Crime,Burglary,57
2008,O1,Property Crime,Larceny-Theft,351
2008,O1,Property Crime,Motor Vehicle Theft,33
2008,O2,Person Crime,Aggravated Assault,15
2008,O2,Person Crime,Homicide,1
2008,O2,Person Crime,Rape,1
2008,O2,Person Crime,Robbery,10
2008,O2,Property Crime,Arson,4
2008,O2,Property Crime,Burglary,71
2008,O2,Property Crime,Larceny-Theft,161
2008,O2,Property Crime,Motor Vehicle Theft,51
2008,O3,Person Crime,Aggravated Assault,20
2008,O3,Person Crime,Rape,1
2008,O3,Person Crime,Robbery,20
2008,O3,Property Crime,Arson,4
2008,O3,Property Crime,Burglary,97
2008,O3,Property Crime,Larceny-Theft,137
2008,O3,Property Crime,Motor Vehicle Theft,58
2008,Q1,Person Crime,Aggravated Assault,16
2008,Q1,Person Crime,Rape,1
2008,Q1,Person Crime,Robbery,6
2008,Q1,Property Crime,Arson,2
2008,Q1,Property Crime,Burglary,113
2008,Q1,Property Crime,Larceny-Theft,285
2008,Q1,Property Crime,Motor Vehicle Theft,55
2008,Q2,Person Crime,Aggravated Assault,15
2008,Q2,Person Crime,Rape,5
2008,Q2,Person Crime,Robbery,12
2008,Q2,Property Crime,Arson,2
2008,Q2,Property Crime,Burglary,190
2008,Q2,Property Crime,Larceny-Theft,598
2008,Q2,Property Crime,Motor Vehicle Theft,136
2008,Q3,Person Crime,Aggravated Assault,32
2008,Q3,Person Crime,Homicide,2
2008,Q3,Person Crime,Rape,2
2008,Q3,Person Crime,Robbery,27
2008,Q3,Property Crime,Arson,2
2008,Q3,Property Crime,Burglary,143
2008,Q3,Property Crime,Larceny-Theft,898
2008,Q3,Property Crime,Motor Vehicle Theft,80
2008,R1,Person Crime,Aggravated Assault,43
2008,R1,Person Crime,Homicide,4
2008,R1,Person Crime,Rape,6
2008,R1,Person Crime,Robbery,52
2008,R1,Property Crime,Arson,1
2008,R1,Property Crime,Burglary,261
2008,R1,Property Crime,Larceny-Theft,494
2008,R1,Property Crime,Motor Vehicle Theft,128
2008,R2,Person Crime,Aggravated Assault,41
2008,R2,Person Crime,Rape,10
2008,R2,Person Crime,Robbery,76
2008,R2,Property Crime,Arson,4
2008,R2,Property Crime,Burglary,195
2008,R2,Property Crime,Larceny-Theft,464
2008,R2,Property Crime,Motor Vehicle Theft,84
2008,R3,Person Crime,Aggravated Assault,45
2008,R3,Person Crime,Homicide,1
2008,R3,Person Crime,Rape,3
2008,R3,Person Crime,Robbery,56
2008,R3,Property Crime,Arson,2
2008,R3,Property Crime,Burglary,233
2008,R3,Property Crime,Larceny-Theft,477
2008,R3,Property Crime,Motor Vehicle Theft,104
2008,S1,Person Crime,Aggravated Assault,40
2008,S1,Person Crime,Rape,3
2008,S1,Person Crime,Robbery,59
2008,S1,Property Crime,Arson,3
2008,S1,Property Crime,Burglary,274
2008,S1,Property Crime,Larceny-Theft,264
2008,S1,Property Crime,Motor Vehicle Theft,100
2008,S2,Person Crime,Aggravated Assault,65
2008,S2,Person Crime,Homicide,3
2008,S2,Person Crime,Rape,6
2008,S2,Person Crime,Robbery,65
2008,S2,Property Crime,Arson,6
2008,S2,Property Crime,Burglary,172
2008,S2,Property Crime,Larceny-Theft,332
2008,S2,Property Crime,Motor Vehicle Theft,78
2008,S3,Person Crime,Aggravated Assault,48
2008,S3,Person Crime,Homicide,2
2008,S3,Person Crime,Rape,1
2008,S3,Person Crime,Robbery,48
2008,S3,Property Crime,Arson,2
2008,S3,Property Crime,Burglary,188
2008,S3,Property Crime,Larceny-Theft,410
2008,S3,Property Crime,Motor Vehicle Theft,90
2008,U1,Person Crime,Aggravated Assault,32
2008,U1,Person Crime,Rape,4
2008,U1,Person Crime,Robbery,47
2008,U1,Property Crime,Arson,3
2008,U1,Property Crime,Burglary,244
2008,U1,Property Crime,Larceny-Theft,512
2008,U1,Property Crime,Motor Vehicle Theft,181
2008,U2,Person Crime,Aggravated Assault,27
2008,U2,Person Crime,Robbery,51
2008,U2,Property Crime,Arson,4
2008,U2,Property Crime,Burglary,92
2008,U2,Property Crime,Larceny-Theft,513
2008,U2,Property Crime,Motor Vehicle Theft,68
2008,U3,Person Crime,Aggravated Assault,12
2008,U3,Person Crime,Homicide,1
2008,U3,Person Crime,Rape,2
2008,U3,Person Crime,Robbery,23
2008,U3,Property Crime,Arson,1
2008,U3,Property Crime,Burglary,229
2008,U3,Property Crime,Larceny-Theft,585
2008,U3,Property Crime,Motor Vehicle Theft,75
2008,W1,Person Crime,Aggravated Assault,15
2008,W1,Person Crime,Rape,3
2008,W1,Person Crime,Robbery,15
2008,W1,Property Crime,Burglary,124
2008,W1,Property Crime,Larceny-Theft,406
2008,W1,Property Crime,Motor Vehicle Theft,56
2008,W2,Person Crime,Aggravated Assault,22
2008,W2,Person Crime,Rape,4
2008,W2,Person Crime,Robbery,19
2008,W2,Property Crime,Burglary,140
2008,W2,Property Crime,Larceny-Theft,321
2008,W2,Property Crime,Motor Vehicle Theft,69
2008,W3,Person Crime,Aggravated Assault,14
2008,W3,Person Crime,Robbery,8
2008,W3,Property Crime,Arson,1
2008,W3,Property Crime,Burglary,151
2008,W3,Property Crime,Larceny-Theft,281
2008,W3,Property Crime,Motor Vehicle Theft,45
2009,B1,Person Crime,Aggravated Assault,26
2009,B1,Person Crime,Homicide,1
2009,B1,Person Crime,Rape,1
2009,B1,Person Crime,Robbery,26
2009,B1,Property Crime,Arson,3
2009,B1,Property Crime,Burglary,103
2009,B1,Property Crime,Larceny-Theft,421
2009,B1,Property Crime,Motor Vehicle Theft,56
2009,B2,Person Crime,Aggravated Assault,50
2009,B2,Person Crime,Rape,3
2009,B2,Person Crime,Robbery,32
2009,B2,Property Crime,Burglary,151
2009,B2,Property Crime,Larceny-Theft,691
2009,B2,Property Crime,Motor Vehicle Theft,134
2009,B3,Person Crime,Aggravated Assault,38
2009,B3,Person Crime,Rape,4
2009,B3,Person Crime,Robbery,35
2009,B3,Property Crime,Burglary,193
2009,B3,Property Crime,Larceny-Theft,652
2009,B3,Property Crime,Motor Vehicle Theft,124
2009,C1,Person Crime,Aggravated Assault,15
2009,C1,Person Crime,Homicide,1
2009,C1,Person Crime,Rape,1
2009,C1,Person Crime,Robbery,17
2009,C1,Property Crime,Burglary,109
2009,C1,Property Crime,Larceny-Theft,378
2009,C1,Property Crime,Motor Vehicle Theft,91
2009,C2,Person Crime,Aggravated Assault,11
2009,C2,Person Crime,Rape,1
2009,C2,Person Crime,Robbery,11
2009,C2,Property Crime,Burglary,125
2009,C2,Property Crime,Larceny-Theft,269
2009,C2,Property Crime,Motor Vehicle Theft,49
2009,C3,Person Crime,Aggravated Assault,23
2009,C3,Person Crime,Rape,2
2009,C3,Person Crime,Robbery,34
2009,C3,Property Crime,Arson,1
2009,C3,Property Crime,Burglary,161
2009,C3,Property Crime,Larceny-Theft,260
2009,C3,Property Crime,Motor Vehicle Theft,43
2009,D1,Person Crime,Aggravated Assault,72
2009,D1,Person Crime,Homicide,1
2009,D1,Person Crime,Rape,6
2009,D1,Person Crime,Robbery,57
2009,D1,Property Crime,Arson,3
2009,D1,Property Crime,Burglary,109
2009,D1,Property Crime,Larceny-Theft,688
2009,D1,Property Crime,Motor Vehicle Theft,44
2009,D2,Person Crime,Aggravated Assault,30
2009,D2,Person Crime,Rape,3
2009,D2,Person Crime,Robbery,34
2009,D2,Property Crime,Arson,1
2009,D2,Property Crime,Burglary,90
2009,D2,Property Crime,Larceny-Theft,878
2009,D2,Property Crime,Motor Vehicle Theft,56
2009,D3,Person Crime,Aggravated Assault,38
2009,D3,Person Crime,Rape,3
2009,D3,Person Crime,Robbery,27
2009,D3,Property Crime,Arson,6
2009,D3,Property Crime,Burglary,131
2009,D3,Property Crime,Larceny-Theft,1042
2009,D3,Property Crime,Motor Vehicle Theft,82
2009,E1,Person Crime,Aggravated Assault,25
2009,E1,Person Crime,Rape,3
2009,E1,Person Crime,Robbery,30
2009,E1,Property Crime,Arson,4
2009,E1,Property Crime,Burglary,110
2009,E1,Property Crime,Larceny-Theft,418
2009,E1,Property Crime,Motor Vehicle Theft,67
2009,E2,Person Crime,Aggravated Assault,35
2009,E2,Person Crime,Homicide,1
2009,E2,Person Crime,Rape,3
2009,E2,Person Crime,Robbery,35
2009,E2,Property Crime,Arson,6
2009,E2,Property Crime,Burglary,60
2009,E2,Property Crime,Larceny-Theft,704
2009,E2,Property Crime,Motor Vehicle Theft,61
2009,E3,Person Crime,Aggravated Assault,32
2009,E3,Person Crime,Homicide,1
2009,E3,Person Crime,Rape,7
2009,E3,Person Crime,Robbery,42
2009,E3,Property Crime,Arson,1
2009,E3,Property Crime,Burglary,108
2009,E3,Property Crime,Larceny-Theft,818
2009,E3,Property Crime,Motor Vehicle Theft,79
2009,F1,Person Crime,Aggravated Assault,48
2009,F1,Person Crime,Rape,5
2009,F1,Person Crime,Robbery,20
2009,F1,Property Crime,Burglary,116
2009,F1,Property Crime,Larceny-Theft,263
2009,F1,Property Crime,Motor Vehicle Theft,79
2009,F2,Person Crime,Aggravated Assault,21
2009,F2,Person Crime,Rape,1
2009,F2,Person Crime,Robbery,25
2009,F2,Property Crime,Arson,5
2009,F2,Property Crime,Burglary,91
2009,F2,Property Crime,Larceny-Theft,363
2009,F2,Property Crime,Motor Vehicle Theft,58
2009,F3,Person Crime,Aggravated Assault,48
2009,F3,Person Crime,Homicide,1
2009,F3,Person Crime,Rape,1
2009,F3,Person Crime,Robbery,34
2009,F3,Property Crime,Arson,3
2009,F3,Property Crime,Burglary,160
2009,F3,Property Crime,Larceny-Theft,223
2009,F3,Property Crime,Motor Vehicle Theft,75
2009,G1,Person Crime,Aggravated Assault,32
2009,G1,Person Crime,Rape,11
2009,G1,Person Crime,Robbery,29
2009,G1,Property Crime,Burglary,61
2009,G1,Property Crime,Larceny-Theft,233
2009,G1,Property Crime,Motor Vehicle Theft,25
2009,G2,Person Crime,Aggravated Assault,42
2009,G2,Person Crime,Homicide,2
2009,G2,Person Crime,Rape,2
2009,G2,Person Crime,Robbery,57
2009,G2,Property Crime,Arson,2
2009,G2,Property Crime,Burglary,199
2009,G2,Property Crime,Larceny-Theft,313
2009,G2,Property Crime,Motor Vehicle Theft,50
2009,G3,Person Crime,Aggravated Assault,34
2009,G3,Person Crime,Homicide,2
2009,G3,Person Crime,Robbery,31
2009,G3,Property Crime,Arson,1
2009,G3,Property Crime,Burglary,124
2009,G3,Property Crime,Larceny-Theft,195
2009,G3,Property Crime,Motor Vehicle Theft,30
2009,J1,Person Crime,Aggravated Assault,43
2009,J1,Person Crime,Rape,2
2009,J1,Person Crime,Robbery,47
2009,J1,Property Crime,Arson,6
2009,J1,Property Crime,Burglary,155
2009,J1,Property Crime,Larceny-Theft,441
2009,J1,Property Crime,Motor Vehicle Theft,88
2009,J2,Person Crime,Aggravated Assault,18
2009,J2,Person Crime,Robbery,13
2009,J2,Property Crime,Arson,1
2009,J2,Property Crime,Burglary,133
2009,J2,Property Crime,Larceny-Theft,492
2009,J2,Property Crime,Motor Vehicle Theft,73
2009,J3,Person Crime,Aggravated Assault,19
2009,J3,Person Crime,Rape,2
2009,J3,Person Crime,Robbery,21
2009,J3,Property Crime,Arson,5
2009,J3,Property Crime,Burglary,130
2009,J3,Property Crime,Larceny-Theft,691
2009,J3,Property Crime,Motor Vehicle Theft,68
2009,K1,Person Crime,Aggravated Assault,26
2009,K1,Person Crime,Rape,2
2009,K1,Person Crime,Robbery,58
2009,K1,Property Crime,Arson,1
2009,K1,Property Crime,Burglary,67
2009,K1,Property Crime,Larceny-Theft,806
2009,K1,Property Crime,Motor Vehicle Theft,29
2009,K2,Person Crime,Aggravated Assault,67
2009,K2,Person Crime,Rape,3
2009,K2,Person Crime,Robbery,64
2009,K2,Property Crime,Arson,3
2009,K2,Property Crime,Burglary,56
2009,K2,Property Crime,Larceny-Theft,823
2009,K2,Property Crime,Motor Vehicle Theft,58
2009,K3,Person Crime,Aggravated Assault,58
2009,K3,Person Crime,Rape,10
2009,K3,Person Crime,Robbery,89
2009,K3,Property Crime,Arson,2
2009,K3,Property Crime,Burglary,110
2009,K3,Property Crime,Larceny-Theft,1245
2009,K3,Property Crime,Motor Vehicle Theft,67
2009,L1,Person Crime,Aggravated Assault,38
2009,L1,Person Crime,Rape,3
2009,L1,Person Crime,Robbery,24
2009,L1,Property Crime,Arson,2
2009,L1,Property Crime,Burglary,148
2009,L1,Property Crime,Larceny-Theft,306
2009,L1,Property Crime,Motor Vehicle Theft,52
2009,L2,Person Crime,Aggravated Assault,32
2009,L2,Person Crime,Rape,1
2009,L2,Person Crime,Robbery,45
2009,L2,Property Crime,Arson,1
2009,L2,Property Crime,Burglary,167
2009,L2,Property Crime,Larceny-Theft,737
2009,L2,Property Crime,Motor Vehicle Theft,75
2009,L3,Person Crime,Aggravated Assault,18
2009,L3,Person Crime,Rape,1
2009,L3,Person Crime,Robbery,26
2009,L3,Property Crime,Arson,2
2009,L3,Property Crime,Burglary,153
2009,L3,Property Crime,Larceny-Theft,386
2009,L3,Property Crime,Motor Vehicle Theft,35
2009,M1,Person Crime,Aggravated Assault,27
2009,M1,Person Crime,Homicide,1
2009,M1,Person Crime,Robbery,36
2009,M1,Property Crime,Burglary,42
2009,M1,Property Crime,Larceny-Theft,889
2009,M1,Property Crime,Motor Vehicle Theft,35
2009,M2,Person Crime,Aggravated Assault,29
2009,M2,Person Crime,Rape,2
2009,M2,Person Crime,Robbery,46
2009,M2,Property Crime,Arson,1
2009,M2,Property Crime,Burglary,25
2009,M2,Property Crime,Larceny-Theft,872
2009,M2,Property Crime,Motor Vehicle Theft,20
2009,M3,Person Crime,Aggravated Assault,38
2009,M3,Person Crime,Rape,1
2009,M3,Person Crime,Robbery,61
2009,M3,Property Crime,Arson,2
2009,M3,Property Crime,Burglary,34
2009,M3,Property Crime,Larceny-Theft,840
2009,M3,Property Crime,Motor Vehicle Theft,8
2009,N1,Person Crime,Aggravated Assault,18
2009,N1,Person Crime,Rape,4
2009,N1,Person Crime,Robbery,22
2009,N1,Property Crime,Arson,1
2009,N1,Property Crime,Burglary,186
2009,N1,Property Crime,Larceny-Theft,429
2009,N1,Property Crime,Motor Vehicle Theft,72
2009,N2,Person Crime,Aggravated Assault,37
2009,N2,Person Crime,Homicide,1
2009,N2,Person Crime,Rape,5
2009,N2,Person Crime,Robbery,36
2009,N2,Property Crime,Arson,2
2009,N2,Property Crime,Burglary,117
2009,N2,Property Crime,Larceny-Theft,396
2009,N2,Property Crime,Motor Vehicle Theft,49
2009,N3,Person Crime,Aggravated Assault,24
2009,N3,Person Crime,Rape,4
2009,N3,Person Crime,Robbery,46
2009,N3,Property Crime,Arson,8
2009,N3,Property Crime,Burglary,129
2009,N3,Property Crime,Larceny-Theft,340
2009,N3,Property Crime,Motor Vehicle Theft,100
2009,O1,Person Crime,Aggravated Assault,23
2009,O1,Person Crime,Homicide,2
2009,O1,Person Crime,Rape,2
2009,O1,Person Crime,Robbery,14
2009,O1,Property Crime,Burglary,43
2009,O1,Property Crime,Larceny-Theft,377
2009,O1,Property Crime,Motor Vehicle Theft,26
2009,O2,Person Crime,Aggravated Assault,9
2009,O2,Person Crime,Robbery,16
2009,O2,Property Crime,Burglary,37
2009,O2,Property Crime,Larceny-Theft,166
2009,O2,Property Crime,Motor Vehicle Theft,25
2009,O3,Person Crime,Aggravated Assault,25
2009,O3,Person Crime,Homicide,1
2009,O3,Person Crime,Rape,1
2009,O3,Person Crime,Robbery,20
2009,O3,Property Crime,Arson,1
2009,O3,Property Crime,Burglary,55
2009,O3,Property Crime,Larceny-Theft,123
2009,O3,Property Crime,Motor Vehicle Theft,22
2009,Q1,Person Crime,Aggravated Assault,19
2009,Q1,Person Crime,Rape,1
2009,Q1,Person Crime,Robbery,12
2009,Q1,Property Crime,Burglary,157
2009,Q1,Property Crime,Larceny-Theft,386
2009,Q1,Property Crime,Motor Vehicle Theft,46
2009,Q2,Person Crime,Aggravated Assault,17
2009,Q2,Person Crime,Rape,1
2009,Q2,Person Crime,Robbery,16
2009,Q2,Property Crime,Arson,10
2009,Q2,Property Crime,Burglary,178
2009,Q2,Property Crime,Larceny-Theft,519
2009,Q2,Property Crime,Motor Vehicle Theft,86
2009,Q3,Person Crime,Aggravated Assault,23
2009,Q3,Person Crime,Rape,2
2009,Q3,Person Crime,Robbery,34
2009,Q3,Property Crime,Arson,3
2009,Q3,Property Crime,Burglary,135
2009,Q3,Property Crime,Larceny-Theft,1016
2009,Q3,Property Crime,Motor Vehicle Theft,89
2009,R1,Person Crime,Aggravated Assault,49
2009,R1,Person Crime,Homicide,1
2009,R1,Person Crime,Rape,3
2009,R1,Person Crime,Robbery,53
2009,R1,Property Crime,Arson,5
2009,R1,Property Crime,Burglary,270
2009,R1,Property Crime,Larceny-Theft,504
2009,R1,Property Crime,Motor Vehicle Theft,123
2009,R2,Person Crime,Aggravated Assault,46
2009,R2,Person Crime,Homicide,1
2009,R2,Person Crime,Robbery,60
2009,R2,Property Crime,Arson,3
2009,R2,Property Crime,Burglary,194
2009,R2,Property Crime,Larceny-Theft,462
2009,R2,Property Crime,Motor Vehicle Theft,66
2009,R3,Person Crime,Aggravated Assault,53
2009,R3,Person Crime,Rape,2
2009,R3,Person Crime,Robbery,52
2009,R3,Property Crime,Arson,7
2009,R3,Property Crime,Burglary,196
2009,R3,Property Crime,Larceny-Theft,437
2009,R3,Property Crime,Motor Vehicle Theft,71
2009,S1,Person Crime,Aggravated Assault,45
2009,S1,Person Crime,Homicide,1
2009,S1,Person Crime,Robbery,50
2009,S1,Property Crime,Arson,3
2009,S1,Property Crime,Burglary,238
2009,S1,Property Crime,Larceny-Theft,272
2009,S1,Property Crime,Motor Vehicle Theft,106
2009,S2,Person Crime,Aggravated Assault,90
2009,S2,Person Crime,Homicide,1
2009,S2,Person Crime,Rape,5
2009,S2,Person Crime,Robbery,70
2009,S2,Property Crime,Arson,3
2009,S2,Property Crime,Burglary,130
2009,S2,Property Crime,Larceny-Theft,315
