page,country,rev_id,Geography,Population mid-2018 (millions)
Dominique Larifla,Guadeloupe,720040679,,
Georges Dagonia,Guadeloupe,720040713,,
François Louisy,Guadeloupe,720040739,,
Henri Agarande,Martinique,720040766,,
Georges Guéril,French Guiana,720040781,,
Édouard Gaumont,French Guiana,720040911,,
Édouard Chammougon,Guadeloupe,720047704,,
Philippe Edmond-Mariette,Martinique,720051482,,
Guy Lordinot,Martinique,720051522,,
Anicet Turinay,Martinique,720051537,,
Léopold Hélène,Guadeloupe,720055613,,
Leo Andy,Guadeloupe,720055699,,
José Moustache,Guadeloupe,720055763,,
Frédéric Jalton,Guadeloupe,720055814,,
Rosan Girard,Guadeloupe,720055877,,
Armand Jean-François,Guadeloupe,720055937,,
Michel Renard,Martinique,720059715,,
Jean Silvandre,Martinique,720059792,,
Marie-Joseph Pernock,Martinique,720116944,,
Paul Valentino,Guadeloupe,720117073,,
Marcel Esdras,Guadeloupe,720117155,,
Mariani Maximin,Guadeloupe,720117294,,
Camille Darsières,Martinique,720127025,,
Homère Clément,Martinique,720127121,,
Ghassan Shakaa,Palestinian Territory,720225559,,
Sam Condor,Saint Kitts and Nevis,720360218,,
Aníbal Portillo,Salvadoran,720419598,,
Robert Le Masurier,Jersey,720430005,,
John Allen (diplomat),Tokelauan,720435378,,
Raymond Tarcy,French Guiana,720461524,,
José Francisco Valiente,Salvadoran,720478176,,
Salim Zanoun,Palestinian Territory,720541817,,
Joseph Nathaniel France,Saint Kitts and Nevis,720572188,,
Diego de Holguín,Salvadoran,720623176,,
Sigfrido Reyes Morales,Salvadoran,720633452,,
Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",720858135,,
Zurab Achba,Abkhazia,721094337,,
José Endundo Bononge,"Congo, Dem. Rep. of",721206007,,
Amédée Fengarol,Guadeloupe,721660701,,
Rostislav Khugayev,South Ossetian,721687759,,
Artur London,Czech Republic,721736524,,
Alain Tien-Liong,French Guiana,721865198,,
Álvur Kirke,Faroese,721938213,,
Marlon Pascua,Hondura,722006681,,
Domingo Vásquez,Hondura,722195895,,
Mohammed Al Rumhi,Omani,722258362,,
Peter Harwood,Guernsey,722295712,,
Rikard Long,Faroese,722336332,,
Sigurð Joensen,Faroese,722336979,,
Enrique Flores Lanza,Hondura,722442093,,
Jógvan Poulsen (1854–1941),Faroese,722590461,,
Martin Storey (politician),Guernsey,722806951,,
František Sláma (politician),Czech Republic,722937211,,
Kevin C. Lewis,Jersey,722988899,,
Lee Wu-jong,South Korean,723064614,,
Themba N. Masuku,Swaziland,723121670,,
Jan Kubice,Czech Republic,723151837,,
Tuitama Talalelei Tuitama,Samoan,723152770,,
Renan Inestroza,Hondura,723153856,,
Kamil Jankovský,Czech Republic,723207013,,
Manuel Enrique Araujo,Salvadoran,723277343,,
Mauricio Oliva,Hondura,723304712,,
Christian Groepe,Cape Colony,723563811,,
Karim Mammadbeyov,Dagestani,723563977,,
Shota Shamatava,Abkhazia,723736482,,
Shawn Richards,Saint Kitts and Nevis,723892438,,
Richard Muyej Mangez,"Congo, Dem. Rep. of",723913158,,
Jacob Vestergaard,Faroese,724674137,,
Václav Vacek,Czech Republic,724691268,,
Rob Duhamel,Jersey,724891592,,
William Hume (Cape politician),Cape Colony,724976433,,
Johan Simonsen,Faroese,725030656,,
Armando Calidonio,Hondura,725105423,,
Sébastien Impeto Pengo,"Congo, Dem. Rep. of",725141090,,
Kári P. Højgaard,Faroese,725288194,,
Carlos Urbizo,Hondura,725343188,,
Čestmír Císař,Czech Republic,725362978,,
Mauricio Villeda,Hondura,725459626,,
Duvalle,Saint Vincent and the Grenadines,725462724,,
Séry Bailly,Ivorian,725560428,,
Miguel Andonie Fernández,Hondura,725591760,,
Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476,,
Patrick J. D. Ryan,Jersey,725737326,,
René Toribio,Guadeloupe,725882471,,
Dominic Fedee,Saint Lucian,725910626,,
William Carey (Bailiff of Guernsey),Guernsey,725970969,,
Howard Fergus,Montserratian,725980651,,
Yolani Batres,Hondura,726246603,,
Philip Pierre,Saint Lucian,726374537,,
Janez Evangelist Krek,Carniolan,726434981,,
Luca Rovinalti,Czech Republic,726666131,,
Le Mamea Matatumua Ata,Samoan,726724077,,
Tole’afoa Solomona To’ailoa,Samoan,726724455,,
Kamil Krofta,Czech Republic,726762194,,
Manuel Antonio Alberto Zelaya,Hondura,726766670,,
Yahya Al Khusaibi,Omani,726862168,,
List of Danish High Commissioners in Greenland,Greenlandic,728026000,,
Emmanuel Véry-Hermence,Martinique,728154475,,
List of Presidents of the House of Ariki,Cook Island,728378933,,
Milan Štěch,Czech Republic,728506208,,
Laurent Akoun,Ivorian,729142061,,
Kristin Michelsen,Faroese,729422866,,
Sayyid Badr bin Hamad bin Hamood AlBusaidi,Omani,729426899,,
David Jones (Guernsey politician),Guernsey,729428763,,
Etbin Henrik Costa,Carniolan,729435354,,
Umm Nidal,Palestinian Territory,729635985,,
Patrice Tirolien,Guadeloupe,729810276,,
Antonín Janoušek,Czech Republic,729912438,,
Bedřich Geminder,Czech Republic,730146355,,
Aref al-Dajani,Palestinian Territory,730565205,,
Faed Mustafa,Palestinian Territory,730612889,,
Hunter J. Francois,Saint Lucian,730756593,,
Joaquín Eufrasio Guzmán,Salvadoran,730854147,,
Francisco Malespín,Salvadoran,730864227,,
Jonathan Sinclair,Pitcairn Islands,731458576,,
James Sivewright,Cape Colony,731817397,,
William Downes Griffith,Cape Colony,731908828,,
List of Presidents of the Regional Council of Martinique,Martinique,732059763,,
Neil Walter,Tokelauan,732100626,,
Presidents of the Regional Council of French Guiana,French Guiana,732283076,,
André Lesueur,Martinique,732488768,,
Clovis Kabongo Malemba,"Congo, Dem. Rep. of",733051797,,
Daniel Aka Ahizi,Ivorian,733596387,,
Rodrigo Ávila,Salvadoran,733791467,,
Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909,,
Lisbeth L. Petersen,Faroese,734668075,,
Karel Domin,Czech Republic,735174171,,
Bamba Mamadou,Ivorian,735408389,,
Símun av Skarði,Faroese,735578210,,
Mario Aguiñada Carranza,Salvadoran,736491718,,
Harry Struben,South African Republic,736854878,,
Vincent Floissac,Saint Lucian,736890123,,
George Odlum,Saint Lucian,736890129,,
Philippe de Carteret II,Jersey,737014330,,
Patrice Nisbett,Saint Kitts and Nevis,737165159,,
Ashley Greenwood,Montserratian,737169369,,
Samiha Khalil,Palestinian Territory,737316891,,
John Sweet Distin,Cape Colony,737348283,,
François Nicéphore Kakese,"Congo, Dem. Rep. of",737533634,,
Jean-Étienne Antoinette,French Guiana,737536891,,
Hubert Ripka,Czech Republic,737562321,,
João Viegas Carrascalão,East Timorese,737687072,,
Tangaroa Tangaroa,Cook Island,737975585,,
David Rodríguez Rivera,Salvadoran,738362225,,
Imil Jarjoui,Palestinian Territory,738485209,,
Mihael Preiss,Carniolan,738955897,,
Lealailepule Rimoni Aiafi,Samoan,738999542,,
Va'ai Papu Vailupe,Samoan,739170575,,
Palusalue Fa’apo II,Samoan,739170586,,
Tolofuaivalelei Falemoe Lei’ataua,Samoan,739170620,,
A'eau Peniamina,Samoan,739170646,,
Patu Ativalu,Samoan,739170663,,
Charles Antrobus,Saint Vincent and the Grenadines,739296460,,
Abu Zakaria al-Jamal,Palestinian Territory,740251014,,
Mustafa al-Khalidi,Palestinian Territory,740562507,,
Sua Sulu'ape Paulo II,Samoan,740773350,,
Connétable (Jersey and Guernsey),Jersey,740998059,,
Carlos Ezeta,Salvadoran,741190933,,
Samir Ghawshah,Palestinian Territory,741240899,,
Tomáš Eduard Šilinger,Czech Republic,741588720,,
Louis Henri de Gueydon,Martinique,741659376,,
Karel Lavrič,Carniolan,741794691,,
Petr Janyška,Czech Republic,741798984,,
Gunnar Martens,Greenlandic,742150479,,
Andrés Ignacio Menéndez,Salvadoran,742279612,,
Abraham Alvarenga Urbina,Hondura,742298045,,
Alan J. H. Maclean,Jersey,742413962,,
Raymond Ramazani Baya,"Congo, Dem. Rep. of",742707920,,
Lyndon Trott,Guernsey,742737553,,
Fuad Kokaly,Palestinian Territory,742810698,,
Jonathan Le Tocq,Guernsey,742872067,,
Graham Dorey,Guernsey,742872751,,
Janet Mikhail,Palestinian Territory,742930612,,
Alan Parastaev,Ossetian,743018109,,
Mulumba Lukoji,"Congo, Dem. Rep. of",743061455,,
Gerardo Barrios,Salvadoran,743252984,,
Jana Juřenčáková,Czech Republic,743423675,,
Simeon Aké,Ivorian,743428650,,
Hind Khoury,Palestinian Territory,744229617,,
Tim Francis,Tokelauan,744394596,,
Jaromír Nečas,Czech Republic,744448745,,
Martial Joseph Ahipeaud,Ivorian,744522699,,
Siegfried Taub,Czech Republic,744612257,,
Lovro Toman,Carniolan,744636212,,
Saloum Cohen,Palestinian Territory,744680083,,
Innocent Anaky,Ivorian,744920472,,
Cyrille Bissette,Martinique,745174732,,
Asiata Sale'imoa Va'ai,Samoan,745204530,,
Michel Couriard,Jersey,745348113,,
Ahmed Majdalani,Palestinian Territory,745445418,,
Agapito Robleda Castro,Hondura,745838578,,
David Emmanuel Jack,Saint Vincent and the Grenadines,745928420,,
César Castellanos (politician),Hondura,746117875,,
Faidi al-Alami,Palestinian Territory,746561126,,
Georges Marie Anne,Martinique,746619744,,
Záviš Kalandra,Czech Republic,746707985,,
John Thomas Eustace,Cape Colony,746923352,,
Gerald B. Clarke,Rhodesian,747497059,,
Moses Mathendele Dlamini,Swaziland,747579157,,
Bogumil Vošnjak,Carniolan,747945423,,
Boris Chochiev,South Ossetian,748071193,,
Simon Young (magistrate),Pitcairn Islands,748179514,,
Victor Mazuline,Martinique,748274199,,
Hégésippe Légitimus,Guadeloupe,748274502,,
Louisy Mathieu,Guadeloupe,748274939,,
Aiono Nonumalo Sofara,Samoan,748298776,,
Mata'afa Faumuina Fiame Mulinu'u I,Samoan,748384437,,
Rubén Zamora,Salvadoran,748418081,,
De Vic Carey,Guernsey,748457839,,
Fiame Mata'afa Faumuina Mulinu'u II,Samoan,748477510,,
Finnbogi Ísakson,Faroese,748477895,,
Adolfo Lionel Sevilla,Hondura,748832681,,
Brian Young (magistrate),Pitcairn Islands,749046736,,
Vicente Tosta,Hondura,749185736,,
Alexandre Luba Ntambo,"Congo, Dem. Rep. of",749397818,,
Oscar Kashala,"Congo, Dem. Rep. of",749419078,,
Alois Rašín,Czech Republic,749575931,,
Aníbal Delgado Fiallos,Hondura,749663646,,
Toribio Aguilera,Hondura,749695259,,
René Jadfard,French Guiana,749748234,,
First Lady of Ivory Coast,Ivorian,749766207,,
Bedřich Reicin,Czech Republic,749945936,,
Yury Morozov,South Ossetian,749962491,,
Antonio José Cañas,Salvadoran,749973666,,
José Atilio Benítez Parada,Salvadoran,749976455,,
"List of members of the Løgting, 1988–90",Faroese,750074079,,
Brandur Sandoy,Faroese,750167873,,
Jeremias Ziervogel,Cape Colony,750299694,,
Jean-Marie Runiga Lugerero,"Congo, Dem. Rep. of",750725157,,
Queen Pokou,Ivorian,750972336,,
Christian Malanga,"Congo, Dem. Rep. of",751152656,,
Faustin Birindwa,"Congo, Dem. Rep. of",751361476,,
Joshua Hill (Pitcairn Island leader),Pitcairn Islands,751464749,,
Bernd Richter,Czech Republic,751718674,,
Arafat scarf,Palestinian Territory,752269980,,
Kamil Kalina,Czech Republic,753045804,,
Manuel Carrascalão,East Timorese,753061850,,
Chikez Diemu,"Congo, Dem. Rep. of",753704394,,
Guy de Faye,Jersey,754330569,,
Minister of Foreign Affairs (Democratic Republic of the Congo),"Congo, Dem. Rep. of",754344309,,
George Fergusson (diplomat),Pitcairn Islands,754790610,,
James Russell McCoy,Pitcairn Islands,754935959,,
Matthew Edmond McCoy,Pitcairn Islands,754935982,,
Zuhir al-Qaisi,Palestinian Territory,754951299,,
"List of members of the Løgting, 2015–19",Faroese,754952121,,
"List of members of the Løgting, 2011–15",Faroese,754952298,,
"List of members of the Løgting, 2008–11",Faroese,754952557,,
"List of members of the Løgting, 2004–08",Faroese,754952620,,
"List of members of the Løgting, 2002–04",Faroese,754952690,,
Mohammed Shabir,Palestinian Territory,754960024,,
Sumbat Saakian,Abkhazia,755193428,,
Jacques Bangou,Guadeloupe,755313899,,
Said Seyam,Palestinian Territory,755358806,,
Richard Sacher,Czech Republic,755428089,,
Speaker of the Cook Islands Parliament,Cook Island,755442454,,
Émile Boga Doudou,Ivorian,755479236,,
Fran Levstik,Carniolan,755713654,,
Adalgisa Magno Guterres,East Timorese,755908563,,
María do Céu,East Timorese,755908564,,
Adrien Jules Jean Bonhoure,Ivorian,756060260,,
Václav Fischer,Czech Republic,756317863,,
Edouard Kiove Kola,"Congo, Dem. Rep. of",756510063,,
Bárður á Steig Nielsen,Faroese,756602743,,
Edmund Joensen,Faroese,756654638,,
Jørgen Niclasen,Faroese,756654880,,
Sara Olsvig,Greenlandic,756830216,,
Atef Adwan,Palestinian Territory,756834998,,
Moussa Arafat,Palestinian Territory,756836183,,
Ezechiel Joseph,Saint Lucian,757044849,,
Gaston Gerville-Réache,Guadeloupe,757050656,,
Maria Heather,Cook Island,757064438,,
Tetangi Matapo,Cook Island,757064793,,
Selina Napa,Cook Island,757064845,,
Dorice Reid,Cook Island,757065079,,
Ngai Tupa,Cook Island,757065152,,
Teresina Bodkin,Montserratian,757086597,,
Shirley Osborne,Montserratian,757086621,,
Nora Gúnera de Melgar,Hondura,757092750,,
Kathrine Chemnitz,Greenlandic,757102071,,
Augusta Salling,Greenlandic,757103267,,
Leilani Reklai,Palauan,757106724,,
Matatumua Maimoana,Samoan,757107378,,
Laulu Fetauimalemau Mata'afa,Samoan,757107952,,
Fahd bin Mahmoud al Said,Omani,757164616,,
Božena Viková-Kunětická,Czech Republic,757336278,,
Taymuraz Mamsurov,Ossetian,757343822,,
Agathe Fontain,Greenlandic,757539811,,
Ana Pessoa Pinto,East Timorese,757539934,,
Ane Hansen (politician),Greenlandic,757539958,,
Cassey Eggelton,Cook Island,757540405,,
Constance Simelane,Swaziland,757540600,,
Elizabeth Azcona Bocock,Hondura,757561950,,
Fiame Naomi Mata'afa,Samoan,757562316,,
Khouloud Daibes,Palestinian Territory,757565638,,
Menissa Rambally,Saint Lucian,757615710,,
Safuneitu'uga Pa'aga Neri,Samoan,757616961,,
Sandra Midence,Hondura,757617005,,
Violeta Menjívar,Salvadoran,757618572,,
Daniel Mukoko Samba,"Congo, Dem. Rep. of",757821887,,
Henry Latham Currey,Cape Colony,757832561,,
Premier of Nevis,Saint Kitts and Nevis,757950077,,
Santiago González (politician),Salvadoran,757977772,,
Rosa Amelia Guzmán,Salvadoran,758287489,,
Gloria Salguero Gross,Salvadoran,758288293,,
Mikuláš of Hus,Czech Republic,758942647,,
Gatoloaifaana Amataga Alesana-Gidlow,Samoan,758953501,,
Nahid al-Rayyis,Palestinian Territory,759387598,,
Gertruda Sekaninová-Čakrtová,Czech Republic,759446334,,
Yu In-chon,South Korean,760062536,,
Seydou Diarra,Ivorian,760303900,,
Gilbert Aké,Ivorian,760304267,,
Rawhi Fattouh,Palestinian Territory,760357919,,
Wasfi Kabha,Palestinian Territory,760375386,,
Omar Hammayil,Palestinian Territory,760380012,,
Mohammed Milhim,Palestinian Territory,760380700,,
Jeannot Ahoussou-Kouadio,Ivorian,760393381,,
Damian Greaves,Saint Lucian,760443772,,
Aleksandr Shavlokhov,South Ossetian,760473086,,
Merab Chigoev,South Ossetian,760473130,,
Gerasim Khugayev,South Ossetian,760473192,,
Igor Sanakoyev,South Ossetian,760473237,,
Zurab Kokoyev,South Ossetian,760473273,,
Rosa Bonaparte,East Timorese,760534473,,
Rawya Saud Al Busaidi,Omani,760558966,,
Adrian Davis (governor),Montserratian,762009545,,
Sainte Suzanne Melvil-Bloncourt,Guadeloupe,762128875,,
Tuala Ainiu Iusitino,Samoan,762572848,,
Antonio Bells,Palauan,762610456,,
Alibek Delimkhanov,Chechen,762868684,,
Sydney Gun-Munro,Saint Vincent and the Grenadines,762906552,,
Bailiff of Guernsey,Guernsey,762910285,,
Dolly Makambo Nawezi,"Congo, Dem. Rep. of",763323939,,
Francis Chaplin,Rhodesian,763530115,,
Roger Hawkins (politician),Rhodesian,763533706,,
George Mitchell (Rhodesia),Rhodesian,763540238,,
Asii Chemnitz Narup,Greenlandic,763742018,,
Robert Rex,Niuean,763768679,,
Norman George,Cook Island,763769083,,
John Tangi,Cook Island,763769086,,
Vai Peua,Cook Island,763769088,,
Teariki Heather,Cook Island,763769233,,
